backend,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
NPU,mifgsm/eps0.03_default,mifgsm,eps0.03_default,2200,1202,533,824,0.0009383489652430475,0.01411243914626534,54.63636363636364,24.227272727272727,68.55241264559068,65.8719495259442,71.11466629490654
NPU,difgsm/eps0.03_default,difgsm,eps0.03_default,2200,1202,570,782,0.000938348965216589,0.014169759949965523,54.63636363636364,25.90909090909091,65.05823627287853,62.31870695198941,67.70181979049484
NPU,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,2200,1202,538,825,0.0009383489643170165,0.014227404008111443,54.63636363636364,24.454545454545453,68.63560732113145,65.95675386569482,71.19572121892656
NPU,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,2200,1202,534,825,0.0009383489684444686,0.014300844396718476,54.63636363636364,24.272727272727273,68.63560732113145,65.95675386569482,71.19572121892656
NPU,rfgsm/eps0.03_default,rfgsm,eps0.03_default,2200,1202,519,841,0.0009383489251591352,0.01347572777843606,54.63636363636364,23.59090909090909,69.9667221297837,67.31496262003222,72.49126068491928
NPU,tpgd/eps0.03_default,tpgd,eps0.03_default,2200,1202,807,519,0.0009383489291013814,0.01338789297437121,54.63636363636364,36.68181818181818,43.17803660565724,40.40392174364389,45.99561862716434
NPU,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,2200,1202,566,787,0.0006234494668949686,0.006828987599796814,54.63636363636364,25.727272727272727,65.47420965058237,62.74085812062463,68.10896494071278
NPU,deepfool/package_default,deepfool,package_default,2200,1202,689,625,0.001382522093600398,0.006046835408879787,54.63636363636364,31.318181818181817,51.99667221297837,49.17039957409007,54.81022275640507
NPU,fab/eps0.005,fab,eps0.005,2200,1202,1160,95,2.2203485772144007e-05,0.0003396511918949676,54.63636363636364,52.72727272727272,7.903494176372712,6.508914820522521,9.566297711538073
NPU,fab/eps0.01,fab,eps0.01,2200,1202,1074,208,6.809601118219224e-05,0.0010090304597643234,54.63636363636364,48.81818181818181,17.304492512479204,15.270950987460877,19.54635835068105
NPU,fab/eps0.03,fab,eps0.03,2200,1202,835,464,0.0002679994512684387,0.0037823234405351697,54.63636363636364,37.95454545454545,38.60232945091514,35.890546594675236,41.38673426874828
NPU,square/eps0.03_default,square,eps0.03_default,2200,1202,657,681,0.0008547136514772606,0.013638256055129016,54.63636363636364,29.863636363636363,56.65557404326124,53.837248812238634,59.43149228941187
NPU,apgd/eps0.03_default,apgd,eps0.03_default,2200,1202,517,843,0.000850416494729164,0.012312606224008048,54.63636363636364,23.5,70.13311148086522,67.48491853280318,72.6530232996896
NPU,apgdt/eps0.03_default,apgdt,eps0.03_default,2200,1202,496,852,0.0008623467493055736,0.011174293861228757,54.63636363636364,22.545454545454547,70.88186356073211,68.2502252116895,73.38044999473895
NPU,autoattack/eps0.03_standard,autoattack,eps0.03_standard,2200,1202,485,869,0.0008688213883115536,0.012599492530681019,54.63636363636364,22.045454545454547,72.29617304492513,69.69811299534133,74.75216969518785
NPU,ead/package_default,ead,package_default,2200,1202,784,532,0.0022361608110738175,0.005697057462772418,54.63636363636364,35.63636363636364,44.259567387687184,41.47430137049624,47.08140942933021
