backend,snr_db,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,6,pgd/eps0.01,pgd,eps0.01,110,91,84,15,0.00025574615627353003,0.0038764090573583983,82.72727272727273,76.36363636363637,16.483516483516482,10.251340708451503,25.4308915609324
CPU,6,pgd/eps0.03,pgd,eps0.03,110,91,39,67,0.000767235149925699,0.010943634465167417,82.72727272727273,35.45454545454545,73.62637362637363,63.74922768443272,81.589526617477
CPU,6,mifgsm/eps0.03_default,mifgsm,eps0.03_default,110,91,42,64,0.0007672351986084681,0.011498999951237937,82.72727272727273,38.18181818181819,70.32967032967034,60.275771763808216,78.73664472853271
CPU,6,difgsm/eps0.03_default,difgsm,eps0.03_default,110,91,44,60,0.0007672351943751837,0.011585164099762336,82.72727272727273,40.0,65.93406593406593,55.728522201045905,74.84877721186994
CPU,6,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,110,91,41,65,0.0007672351964918264,0.011585474196313412,82.72727272727273,37.27272727272727,71.42857142857143,61.42727836093079,79.6939174012664
CPU,6,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,110,91,43,63,0.0007672351938460228,0.011620470906861755,82.72727272727273,39.09090909090909,69.23076923076923,59.13030988143508,77.77332734104957
CPU,6,rfgsm/eps0.03_default,rfgsm,eps0.03_default,110,91,41,65,0.0007672351467507355,0.010942725117572287,82.72727272727273,37.27272727272727,71.42857142857143,61.42727836093079,79.6939174012664
CPU,6,tpgd/eps0.03_default,tpgd,eps0.03_default,110,91,70,32,0.0007672351652713536,0.010905458062717806,82.72727272727273,63.63636363636363,35.16483516483517,26.13712913278969,45.39435072415074
CPU,6,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,110,91,24,83,0.000814413414760022,0.008262300884218659,82.72727272727273,21.818181818181817,91.20879120879121,83.60118928653627,95.47803333307368
CPU,6,deepfool/package_default,deepfool,package_default,110,91,17,90,0.0018870277676878984,0.008007548508943346,82.72727272727273,15.454545454545453,98.9010989010989,94.03491964093863,99.8057578676652
