backend,snr_db,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,16,fab/eps0.03,fab,eps0.03,30,110,94,64,41,75,71,30,87,9,64.0625,51.82062363615084,74.71176946778539,68.18181818181817,75.53191489361703,31.914893617021278,43.61702127659575,79.0909090909091,9.574468085106384
CPU,16,fab/eps0.03,fab,eps0.03,40,110,94,64,45,77,75,30,92,2,70.3125,58.22956740587202,80.09500041092477,70.0,79.7872340425532,31.914893617021278,47.87234042553192,83.63636363636363,2.127659574468085
CPU,16,square/eps0.03_default,square,eps0.03_default,10,110,94,71,21,37,28,23,40,56,29.577464788732392,20.23273873376572,41.01875776016279,33.63636363636363,29.78723404255319,24.46808510638298,5.319148936170212,36.36363636363637,59.57446808510638
CPU,16,square/eps0.03_default,square,eps0.03_default,20,110,94,71,27,57,50,23,85,12,38.028169014084504,27.627002252580525,49.65835776110171,51.81818181818182,53.191489361702125,24.46808510638298,28.723404255319146,77.27272727272727,12.76595744680851
CPU,16,square/eps0.03_default,square,eps0.03_default,30,110,94,71,26,55,49,23,87,9,36.61971830985916,26.37005388157354,48.24299554548308,50.0,52.12765957446809,24.46808510638298,27.65957446808511,79.0909090909091,9.574468085106384
CPU,16,square/eps0.03_default,square,eps0.03_default,40,110,94,71,31,60,54,23,92,2,43.66197183098591,32.74593796310178,55.22866439708294,54.54545454545454,57.446808510638306,24.46808510638298,32.97872340425533,83.63636363636363,2.127659574468085
CPU,16,apgd/eps0.03_default,apgd,eps0.03_default,10,110,94,70,18,35,25,24,40,56,25.71428571428571,16.929141951409772,37.026351970715424,31.818181818181817,26.595744680851062,25.53191489361702,1.0638297872340416,36.36363636363637,59.57446808510638
CPU,16,apgd/eps0.03_default,apgd,eps0.03_default,20,110,94,70,14,50,38,24,85,12,20.0,12.304627802949916,30.816864689087087,45.45454545454545,40.42553191489361,25.53191489361702,14.89361702127659,77.27272727272727,12.76595744680851
CPU,16,apgd/eps0.03_default,apgd,eps0.03_default,30,110,94,70,11,47,35,24,87,9,15.714285714285714,9.007528275988681,25.988463143482182,42.72727272727273,37.234042553191486,25.53191489361702,11.702127659574465,79.0909090909091,9.574468085106384
CPU,16,apgd/eps0.03_default,apgd,eps0.03_default,40,110,94,70,5,40,29,24,92,2,7.142857142857142,3.089376151029351,15.65561312330923,36.36363636363637,30.851063829787233,25.53191489361702,5.319148936170212,83.63636363636363,2.127659574468085
